Potri.005G173200	TCONS_00095623
Potri.016G134200	TCONS_00256259
Potri.T057800	TCONS_00300492
Potri.013G050600	TCONS_00216064
Potri.005G256500	TCONS_00108386
Potri.013G108600	TCONS_00218516
Potri.006G228700	TCONS_00127557
Potri.011G010300	TCONS_00192889
Potri.006G123000	TCONS_00113091
Potri.012G144400	TCONS_00214043
Potri.019G131400	TCONS_00291212
Potri.004G129700	TCONS_00077528
Potri.005G225700	TCONS_00097764
Potri.006G079700	TCONS_00111612
Potri.005G214600	TCONS_00106666
Potri.001G092600	TCONS_00021130
Potri.009G119800	TCONS_00163676
Potri.001G094600	TCONS_00003161
Potri.016G084400	TCONS_00254514
Potri.006G032900	TCONS_00109581
Potri.013G010400	TCONS_00220425
Potri.010G142000	TCONS_00176975
Potri.003G163600	TCONS_00062915
Potri.002G260100	TCONS_00045454
Potri.013G064800	TCONS_00216604
Potri.002G175000	TCONS_00052767
Potri.002G139600	TCONS_00051444
Potri.012G104500	TCONS_00207520
Potri.001G245300	TCONS_00026766
Potri.006G040300	TCONS_00120347
Potri.006G227500	TCONS_00127520
Potri.007G024600	TCONS_00130711
Potri.004G162600	TCONS_00086609
Potri.005G259300	TCONS_00099012
Potri.004G047700	TCONS_00074819
Potri.002G015200	TCONS_00046296
Potri.T060000	TCONS_00300853
Potri.015G065100	TCONS_00243565
Potri.002G008600	TCONS_00046109
Potri.016G130000	TCONS_00256143
Potri.004G014800	TCONS_00081487
Potri.002G136200	TCONS_00051271
Potri.003G181400	TCONS_00063686
Potri.017G129500	TCONS_00270609
Potri.015G079500	TCONS_00244309
Potri.008G168700	TCONS_00147592
Potri.015G133400	TCONS_00251191
Potri.001G098600	TCONS_00003327
Potri.014G187000	TCONS_00240555
Potri.007G128000	TCONS_00139687
Potri.010G040000	TCONS_00183739
Potri.003G183800	TCONS_00071979
Potri.019G014100	TCONS_00283260
Potri.004G045700	TCONS_00082574
Potri.011G145400	TCONS_00202501
Potri.001G073700	TCONS_00002515
Potri.001G159300	TCONS_00006005
Potri.004G188400	TCONS_00079391
Potri.001G071700	TCONS_00020053
Potri.008G175800	TCONS_00147937
Potri.008G091700	TCONS_00153930
Potri.012G045000	TCONS_00204949
Potri.009G069800	TCONS_00162021
Potri.002G055500	TCONS_00048007
Potri.005G024000	TCONS_00090480
Potri.015G076500	TCONS_00249305
Potri.001G136400	TCONS_00022647
Potri.005G134400	TCONS_00103922
Potri.001G215500	TCONS_00025699
Potri.008G128500	TCONS_00145835
Potri.005G086400	TCONS_00092802
Potri.009G054200	TCONS_00161358
Potri.008G002200	TCONS_00140682
Potri.007G079800	TCONS_00132833
Potri.T145200	TCONS_00299381
Potri.009G012300	TCONS_00165963
Potri.019G001100	TCONS_00287226
Potri.001G078500	TCONS_00002644
Potri.008G046500	TCONS_00142619
Potri.004G101500	TCONS_00076632
Potri.008G121100	TCONS_00155206
Potri.007G101500	TCONS_00133539
Potri.003G016200	TCONS_00056642
Potri.004G198200	TCONS_00087742
Potri.009G162500	TCONS_00171543
Potri.013G110100	TCONS_00224050
Potri.017G047900	TCONS_00263283
Potri.009G022200	TCONS_00166319
Potri.005G089000	TCONS_00092859
Potri.001G142200	TCONS_00005180
Potri.010G002600	TCONS_00181982
Potri.016G051900	TCONS_00253256
Potri.007G059100	TCONS_00131851
Potri.002G080700	TCONS_00049018
Potri.001G104300	TCONS_00021432
Potri.007G134900	TCONS_00140140
Potri.011G110200	TCONS_00195665
Potri.010G114300	TCONS_00186933
Potri.006G217600	TCONS_00116580
Potri.015G027300	TCONS_00247543
Potri.003G144600	TCONS_00070666
Potri.011G064600	TCONS_00194278
Potri.008G039500	TCONS_00142339
Potri.006G139600	TCONS_00113717
Potri.005G082400	TCONS_00092663
Potri.018G039800	TCONS_00278980
Potri.009G105300	TCONS_00163271
Potri.006G222200	TCONS_00116758
Potri.003G204400	TCONS_00072750
Potri.008G044100	TCONS_00151729
Potri.018G022400	TCONS_00272137
Potri.003G171000	TCONS_00071603
Potri.001G249400	TCONS_00009339
Potri.009G121400	TCONS_00170218
Potri.005G204300	TCONS_00106285
Potri.001G245000	TCONS_00009123
Potri.008G019400	TCONS_00141437
Potri.016G043100	TCONS_00252972
Potri.005G176100	TCONS_00095704
Potri.016G063200	TCONS_00253623
Potri.004G161400	TCONS_00078526
Potri.006G185600	TCONS_00115382
Potri.016G068600	TCONS_00259094
Potri.001G352700	TCONS_00013243
Potri.003G202800	TCONS_00072694
Potri.013G131600	TCONS_00224882
Potri.015G136300	TCONS_00246154
Potri.016G144100	TCONS_00261545
Potri.003G126100	TCONS_00061394
Potri.010G164300	TCONS_00177836
Potri.001G369000	TCONS_00031130
Potri.018G026400	TCONS_00278451
Potri.010G185100	TCONS_00189506
Potri.013G042700	TCONS_00215717
Potri.005G219700	TCONS_00106963
Potri.015G073200	TCONS_00249239
Potri.001G043600	TCONS_00001608
Potri.017G119300	TCONS_00270308
Potri.010G026000	TCONS_00172621
Potri.010G090800	TCONS_00185891
Potri.018G024800	TCONS_00272296
Potri.004G015200	TCONS_00073883
Potri.010G089000	TCONS_00185797
Potri.007G044700	TCONS_00131250
Potri.001G166500	TCONS_00023764
Potri.002G180600	TCONS_00052938
Potri.002G256200	TCONS_00045269
Potri.002G016800	TCONS_00046397
Potri.002G026700	TCONS_00046772
Potri.019G092800	TCONS_00290265
Potri.014G192800	TCONS_00233223
Potri.002G031900	TCONS_00046916
Potri.008G094700	TCONS_00154076
Potri.006G196900	TCONS_00115688
Potri.006G094000	TCONS_00122379
Potri.009G063700	TCONS_00161776
Potri.009G072300	TCONS_00168122
Potri.005G053700	TCONS_00100823
Potri.015G101500	TCONS_00245143
Potri.008G064800	TCONS_00152761
Potri.002G111300	TCONS_00039545
Potri.017G079200	TCONS_00269121
Potri.003G013000	TCONS_00065446
Potri.001G147600	TCONS_00023133
Potri.008G160600	TCONS_00147286
Potri.008G111700	TCONS_00154799
Potri.014G086700	TCONS_00236682
Potri.004G190900	TCONS_00079452
Potri.007G040700	TCONS_00131134
Potri.006G093800	TCONS_00112090
Potri.008G104100	TCONS_00154431
Potri.001G120300	TCONS_00022002
Potri.009G137200	TCONS_00170721
Potri.012G052700	TCONS_00205220
Potri.014G095400	TCONS_00237045
Potri.017G015000	TCONS_00262169
Potri.006G273600	TCONS_00129190
Potri.017G061900	TCONS_00268500
Potri.005G093900	TCONS_00093004
Potri.008G118700	TCONS_00145558
Potri.005G110500	TCONS_00102943
Potri.015G081000	TCONS_00249516
Potri.016G038900	TCONS_00258148
Potri.006G129500	TCONS_00123891
Potri.010G187500	TCONS_00189567
Potri.007G115900	TCONS_00133990
Potri.007G127400	TCONS_00139639
Potri.014G109600	TCONS_00237522
Potri.006G053400	TCONS_00110388
Potri.006G234800	TCONS_00117414
Potri.004G118800	TCONS_00077148
Potri.003G107100	TCONS_00060625
Potri.016G022100	TCONS_00252326
Potri.014G131600	TCONS_00230783
Potri.005G246600	TCONS_00098563
Potri.010G181900	TCONS_00178650
Potri.017G000600	TCONS_00261596
Potri.005G119300	TCONS_00103229
Potri.019G126300	TCONS_00291035
Potri.006G015300	TCONS_00119533
Potri.008G035800	TCONS_00142181
Potri.007G082300	TCONS_00132948
Potri.T055700	TCONS_00300293
Potri.017G056900	TCONS_00263552
Potri.014G106200	TCONS_00229745
Potri.001G248100	TCONS_00009295
Potri.006G125500	TCONS_00113192
Potri.012G130500	TCONS_00213681
Potri.008G007500	TCONS_00140938
Potri.006G221800	TCONS_00116745
Potri.009G030100	TCONS_00166611
Potri.003G059400	TCONS_00058520
Potri.005G189300	TCONS_00096241
Potri.016G033100	TCONS_00257865
Potri.004G153100	TCONS_00086218
Potri.010G208900	TCONS_00179939
Potri.002G056100	TCONS_00037095
Potri.002G162900	TCONS_00052351
Potri.008G185200	TCONS_00148336
Potri.012G139100	TCONS_00213862
Potri.003G083200	TCONS_00068189
Potri.006G000700	TCONS_00108667
Potri.004G201400	TCONS_00079736
Potri.012G136900	TCONS_00213828
Potri.003G056100	TCONS_00058372
Potri.013G020400	TCONS_00214979
Potri.015G047500	TCONS_00242803
Potri.015G129700	TCONS_00251057
Potri.007G026900	TCONS_00136109
Potri.002G247900	TCONS_00055461
Potri.002G051600	TCONS_00036863
Potri.001G068100	TCONS_00002349
Potri.002G160500	TCONS_00041343
Potri.009G083300	TCONS_00162567
Potri.004G160100	TCONS_00086492
Potri.016G132700	TCONS_00256229
Potri.018G057000	TCONS_00273523
Potri.008G150000	TCONS_00156260
Potri.004G078300	TCONS_00083617
Potri.001G185900	TCONS_00024499
Potri.002G057600	TCONS_00037146
Potri.016G109000	TCONS_00255415
Potri.019G133500	TCONS_00291321
Potri.002G245500	TCONS_00044845
Potri.001G197900	TCONS_00024976
Potri.001G061700	TCONS_00019726
Potri.001G025100	TCONS_00000873
Potri.015G131300	TCONS_00246042
Potri.002G120700	TCONS_00050722
Potri.001G102000	TCONS_00003516
Potri.004G187700	TCONS_00087407
Potri.003G195300	TCONS_00072380
Potri.012G057100	TCONS_00210971
Potri.017G129200	TCONS_00266033
Potri.019G100300	TCONS_00290442
Potri.001G217800	TCONS_00025766
Potri.011G151400	TCONS_00197090
Potri.019G031500	TCONS_00283795
Potri.006G082300	TCONS_00111704
Potri.002G013900	TCONS_00046240
Potri.003G188700	TCONS_00072070
Potri.008G097000	TCONS_00144731
Potri.009G010800	TCONS_00159573
Potri.002G069100	TCONS_00037599
Potri.007G079300	TCONS_00132818
Potri.015G146900	TCONS_00251601
Potri.008G127600	TCONS_00155408
Potri.005G033700	TCONS_00100132
Potri.018G108700	TCONS_00275798
Potri.003G120900	TCONS_00069823
Potri.012G045900	TCONS_00204976
Potri.010G116200	TCONS_00176072
Potri.009G020500	TCONS_00166251
Potri.001G312900	TCONS_00011725
Potri.008G046200	TCONS_00142608
Potri.014G031000	TCONS_00234517
Potri.002G086000	TCONS_00049242
Potri.012G128600	TCONS_00213626
Potri.006G247000	TCONS_00128195
Potri.007G134000	TCONS_00140084
Potri.009G029100	TCONS_00166576
Potri.005G228500	TCONS_00107261
Potri.002G228300	TCONS_00054618
Potri.013G076100	TCONS_00217114
Potri.017G139800	TCONS_00266264
Potri.008G112200	TCONS_00145274
Potri.006G152900	TCONS_00124881
Potri.005G176400	TCONS_00105227
Potri.012G048300	TCONS_00210721
Potri.006G174700	TCONS_00125524
Potri.009G107200	TCONS_00169525
Potri.005G221100	TCONS_00097599
Potri.019G073700	TCONS_00289620
Potri.014G049000	TCONS_00227531
Potri.018G104700	TCONS_00275652
Potri.002G143500	TCONS_00040721
Potri.004G020700	TCONS_00081779
Potri.005G202400	TCONS_00106184
Potri.018G070200	TCONS_00280003
Potri.002G088300	TCONS_00049286
Potri.006G206100	TCONS_00126802
Potri.006G153000	TCONS_00124889
Potri.009G117800	TCONS_00169929
Potri.003G171900	TCONS_00071638
Potri.001G204600	TCONS_00007643
Potri.011G069700	TCONS_00199953
Potri.001G366100	TCONS_00031026
Potri.001G335000	TCONS_00012421
Potri.010G110200	TCONS_00186749
Potri.T066800	TCONS_00301513
Potri.010G083500	TCONS_00174916
Potri.009G092800	TCONS_00168973
Potri.006G132400	TCONS_00124015
Potri.003G204300	TCONS_00072744
Potri.006G241400	TCONS_00117655
Potri.010G179400	TCONS_00189349
Potri.010G227000	TCONS_00180854
Potri.002G184900	TCONS_00053117
Potri.003G146100	TCONS_00062183
Potri.016G091600	TCONS_00259791
Potri.011G089800	TCONS_00200621
Potri.013G044000	TCONS_00215794
Potri.010G159700	TCONS_00188657
Potri.006G178700	TCONS_00125678
Potri.002G036800	TCONS_00047149
Potri.T046300	TCONS_00299367
Potri.006G224900	TCONS_00116828
Potri.002G123100	TCONS_00039917
Potri.004G123800	TCONS_00077331
Potri.006G193600	TCONS_00115604
Potri.002G246500	TCONS_00044872
Potri.016G093600	TCONS_00259928
Potri.002G000200	TCONS_00045703
Potri.012G085600	TCONS_00206833
Potri.007G031600	TCONS_00130884
Potri.010G164400	TCONS_00177856
Potri.010G214400	TCONS_00190749
Potri.004G140500	TCONS_00085782
Potri.003G074900	TCONS_00059258
Potri.006G198600	TCONS_00115751
Potri.009G089600	TCONS_00162777
Potri.008G169300	TCONS_00147643
Potri.009G074400	TCONS_00168186
Potri.004G207700	TCONS_00088070
Potri.017G116600	TCONS_00265652
Potri.007G033600	TCONS_00136332
Potri.013G083900	TCONS_00217504
Potri.019G015100	TCONS_00283308
Potri.007G046400	TCONS_00131312
Potri.008G071300	TCONS_00143628
Potri.014G192300	TCONS_00233194
Potri.005G044800	TCONS_00100523
Potri.015G057400	TCONS_00243318
Potri.001G026100	TCONS_00018360
Potri.018G131800	TCONS_00276644
Potri.001G464400	TCONS_00016952
Potri.018G126400	TCONS_00276403
Potri.002G077400	TCONS_00048898
Potri.015G077500	TCONS_00249366
Potri.012G066200	TCONS_00211495
Potri.001G003900	TCONS_00000168
Potri.015G060900	TCONS_00243379
Potri.011G036600	TCONS_00198734
Potri.001G018500	TCONS_00000625
Potri.005G097800	TCONS_00102459
Potri.003G083300	TCONS_00068200
Potri.001G266900	TCONS_00027557
Potri.014G008900	TCONS_00233823
Potri.007G121500	TCONS_00134146
Potri.001G377900	TCONS_00031423
Potri.004G089500	TCONS_00083988
Potri.008G134300	TCONS_00155743
Potri.009G068600	TCONS_00161967
Potri.018G081000	TCONS_00280284
Potri.006G239700	TCONS_00127882
Potri.005G192900	TCONS_00105840
Potri.014G029600	TCONS_00226806
Potri.001G347100	TCONS_00012955
Potri.004G095100	TCONS_00084240
Potri.004G123900	TCONS_00077335
Potri.018G124800	TCONS_00276336
Potri.005G068700	TCONS_00101307
Potri.004G019800	TCONS_00081742
Potri.005G144000	TCONS_00094519
Potri.006G244300	TCONS_00128078
Potri.003G164200	TCONS_00071368
Potri.001G298400	TCONS_00011199
Potri.001G305600	TCONS_00011454
Potri.008G027900	TCONS_00141795
Potri.001G264500	TCONS_00009800
Potri.009G067200	TCONS_00161912
Potri.017G054400	TCONS_00263467
Potri.001G460400	TCONS_00016808
Potri.005G160300	TCONS_00104783
Potri.005G112800	TCONS_00103008
Potri.003G211000	TCONS_00072892
Potri.005G251100	TCONS_00098682
Potri.016G029600	TCONS_00252592
Potri.018G006400	TCONS_00277756
Potri.007G080400	TCONS_00132870
Potri.011G090200	TCONS_00200630
Potri.003G089300	TCONS_00068418
Potri.002G191000	TCONS_00053384
Potri.006G051300	TCONS_00110351
Potri.013G075400	TCONS_00217091
Potri.002G216400	TCONS_00043726
Potri.006G015400	TCONS_00109060
Potri.006G127400	TCONS_00113271
Potri.001G307600	TCONS_00011536
Potri.005G196100	TCONS_00105897
Potri.009G148100	TCONS_00164704
Potri.019G047300	TCONS_00284578
Potri.002G191100	TCONS_00053393
Potri.014G018900	TCONS_00226442
Potri.T057400	TCONS_00300478
Potri.018G037000	TCONS_00278880
Potri.016G024600	TCONS_00252426
Potri.006G204600	TCONS_00126755
Potri.013G075300	TCONS_00217080
Potri.001G326300	TCONS_00029457
Potri.008G187100	TCONS_00148422
Potri.009G091600	TCONS_00162836
Potri.013G035500	TCONS_00221450
Potri.004G211300	TCONS_00080144
Potri.002G005000	TCONS_00035076
Potri.012G080000	TCONS_00206581
Potri.019G081000	TCONS_00285861
Potri.013G130400	TCONS_00219239
Potri.010G208000	TCONS_00190507
Potri.002G162000	TCONS_00041418
Potri.001G329300	TCONS_00012230
Potri.016G086200	TCONS_00254612
Potri.009G104700	TCONS_00169386
Potri.015G055300	TCONS_00248480
Potri.004G155600	TCONS_00078290
Potri.003G190800	TCONS_00072130
Potri.008G156500	TCONS_00147141
Potri.010G242900	TCONS_00192103
Potri.019G131800	TCONS_00287146
Potri.007G086800	TCONS_00138296
Potri.005G185200	TCONS_00105564
Potri.001G155100	TCONS_00023412
Potri.001G197200	TCONS_00007356
Potri.002G134000	TCONS_00051155
Potri.004G204700	TCONS_00079891
Potri.007G109700	TCONS_00139085
Potri.009G058000	TCONS_00167589
Potri.015G036500	TCONS_00247872
Potri.003G103700	TCONS_00060473
Potri.004G058700	TCONS_00075127
Potri.014G038300	TCONS_00227097
Potri.007G070000	TCONS_00132419
Potri.017G127300	TCONS_00265904
Potri.006G098100	TCONS_00122479
Potri.010G071000	TCONS_00174431
Potri.011G153300	TCONS_00197154
Potri.001G075500	TCONS_00002555
Potri.018G063700	TCONS_00279760
Potri.002G074800	TCONS_00048745
Potri.018G094300	TCONS_00275326
Potri.007G106100	TCONS_00138980
Potri.012G047200	TCONS_00205020
Potri.019G025500	TCONS_00283614
Potri.008G110300	TCONS_00145225
Potri.014G016600	TCONS_00226359
Potri.007G067500	TCONS_00132293
Potri.001G157500	TCONS_00005934
Potri.008G055800	TCONS_00152365
Potri.001G073900	TCONS_00020174
Potri.001G100700	TCONS_00003412
Potri.013G160000	TCONS_00220027
Potri.001G344100	TCONS_00030178
Potri.003G098000	TCONS_00060243
Potri.006G115100	TCONS_00112806
Potri.008G149300	TCONS_00156233
Potri.009G057300	TCONS_00161503
Potri.008G065600	TCONS_00152804
Potri.010G014600	TCONS_00182509
Potri.019G031200	TCONS_00283787
Potri.002G084500	TCONS_00038298
Potri.008G041100	TCONS_00142410
Potri.018G128300	TCONS_00276522
Potri.012G006000	TCONS_00203702
Potri.016G058100	TCONS_00258737
Potri.006G109500	TCONS_00122937
Potri.018G111400	TCONS_00281532
XLOC_077626	TCONS_00281754
Potri.014G069200	TCONS_00235872
Potri.009G115500	TCONS_00169838
Potri.016G046900	TCONS_00253063
Potri.009G101900	TCONS_00163208
Potri.009G126200	TCONS_00170427
Potri.005G086800	TCONS_00092816
Potri.001G270600	TCONS_00027661
Potri.005G233000	TCONS_00098107
Potri.010G116500	TCONS_00187013
Potri.014G160300	TCONS_00232126
Potri.010G000800	TCONS_00181903
Potri.004G026000	TCONS_00074133
Potri.018G139800	TCONS_00282457
Potri.014G071900	TCONS_00236048
Potri.001G358500	TCONS_00013518
Potri.002G225200	TCONS_00044016
Potri.008G179700	TCONS_00157369
Potri.004G081400	TCONS_00083711
Potri.016G019000	TCONS_00257469
Potri.009G029600	TCONS_00166604
Potri.006G106500	TCONS_00112452
Potri.006G188000	TCONS_00126003
Potri.014G149600	TCONS_00231625
Potri.009G108500	TCONS_00163349
Potri.005G109100	TCONS_00093593
Potri.014G169500	TCONS_00239810
Potri.004G135000	TCONS_00077710
Potri.006G025800	TCONS_00109423
Potri.014G157100	TCONS_00239318
Potri.006G243300	TCONS_00128055
Potri.004G226400	TCONS_00080744
Potri.016G061000	TCONS_00258820
Potri.004G022800	TCONS_00074051
Potri.002G104100	TCONS_00039165
Potri.006G064800	TCONS_00110898
Potri.013G046500	TCONS_00215894
Potri.008G198200	TCONS_00158127
Potri.016G091100	TCONS_00254778
Potri.018G020600	TCONS_00278259
Potri.019G098800	TCONS_00286364
Potri.004G175500	TCONS_00078988
Potri.003G039100	TCONS_00066407
Potri.010G160700	TCONS_00177664
Potri.017G099900	TCONS_00269802
Potri.002G006300	TCONS_00046007
Potri.015G010000	TCONS_00241377
Potri.010G122800	TCONS_00187295
Potri.002G100900	TCONS_00039037
Potri.001G047400	TCONS_00001687
Potri.010G188500	TCONS_00179093
Potri.003G040800	TCONS_00066497
Potri.001G453600	TCONS_00016520
Potri.010G217100	TCONS_00190914
Potri.004G235000	TCONS_00081055
Potri.008G051300	TCONS_00142822
Potri.005G021000	TCONS_00099564
Potri.002G102500	TCONS_00039062
Potri.007G031100	TCONS_00130870
Potri.003G030500	TCONS_00057374
Potri.001G164700	TCONS_00006246
Potri.001G128100	TCONS_00004695
Potri.008G080800	TCONS_00143922
Potri.001G004600	TCONS_00000211
Potri.008G086400	TCONS_00153780
Potri.012G056100	TCONS_00205390
Potri.005G019600	TCONS_00099510
Potri.015G069400	TCONS_00243763
Potri.001G011800	TCONS_00017858
Potri.014G154400	TCONS_00239186
Potri.003G131600	TCONS_00061573
Potri.005G095700	TCONS_00102421
Potri.009G165700	TCONS_00165306
Potri.002G061500	TCONS_00037333
Potri.008G169800	TCONS_00156977
Potri.001G405900	TCONS_00032368
Potri.012G059900	TCONS_00211068
Potri.007G049300	TCONS_00137014
Potri.011G142900	TCONS_00196853
Potri.001G125700	TCONS_00022192
Potri.016G007600	TCONS_00257040
Potri.001G127700	TCONS_00022281
Potri.017G100000	TCONS_00264970
Potri.011G096500	TCONS_00195266
Potri.013G152600	TCONS_00219727
Potri.018G043800	TCONS_00273063
Potri.009G133800	TCONS_00164174
Potri.019G018400	TCONS_00283405
Potri.019G054600	TCONS_00285108
Potri.002G067900	TCONS_00048467
Potri.018G087500	TCONS_00280557
Potri.005G242400	TCONS_00107786
Potri.008G129200	TCONS_00145851
Potri.011G021100	TCONS_00198378
Potri.007G123800	TCONS_00139464
Potri.008G045900	TCONS_00142583
Potri.019G048200	TCONS_00284665
Potri.003G179700	TCONS_00063561
Potri.016G124100	TCONS_00255941
Potri.001G318100	TCONS_00011891
Potri.006G239000	TCONS_00127876
Potri.004G093600	TCONS_00084214
Potri.004G082200	TCONS_00075931
Potri.001G266000	TCONS_00027535
Potri.005G091700	TCONS_00102272
Potri.003G159600	TCONS_00062727
Potri.018G133500	TCONS_00282278
Potri.005G093700	TCONS_00092980
Potri.016G020900	TCONS_00257516
Potri.017G086200	TCONS_00264519
Potri.005G149500	TCONS_00104466
Potri.008G031200	TCONS_00141951
Potri.005G253400	TCONS_00098775
Potri.006G011700	TCONS_00119423
Potri.014G057000	TCONS_00227856
Potri.005G213200	TCONS_00106612
Potri.006G017700	TCONS_00109150
Potri.004G118600	TCONS_00085024
Potri.016G001600	TCONS_00256787
Potri.006G053800	TCONS_00110395
Potri.001G085500	TCONS_00020685
Potri.014G104000	TCONS_00229646
Potri.003G172100	TCONS_00063238
Potri.005G144900	TCONS_00104260
Potri.016G074300	TCONS_00259294
Potri.006G129900	TCONS_00113362
Potri.010G201100	TCONS_00190229
Potri.003G066000	TCONS_00067318
Potri.014G129700	TCONS_00230663
Potri.013G101000	TCONS_00223682
Potri.007G097300	TCONS_00133378
Potri.005G156100	TCONS_00094934
Potri.004G125000	TCONS_00085193
Potri.015G103400	TCONS_00250245
Potri.008G213000	TCONS_00149689
Potri.010G157500	TCONS_00177542
Potri.001G056700	TCONS_00019501
Potri.008G187600	TCONS_00148426
Potri.017G121000	TCONS_00265733
Potri.013G014300	TCONS_00214754
Potri.014G038800	TCONS_00227133
Potri.003G153600	TCONS_00062456
Potri.002G010700	TCONS_00035267
Potri.004G228300	TCONS_00080804
Potri.010G206200	TCONS_00190462
Potri.010G208700	TCONS_00179929
Potri.001G089500	TCONS_00020857
Potri.001G050700	TCONS_00001792
Potri.010G048500	TCONS_00184079
Potri.004G211400	TCONS_00088254
Potri.003G203900	TCONS_00064407
Potri.010G231000	TCONS_00191615
Potri.005G211200	TCONS_00097202
Potri.018G037700	TCONS_00278898
Potri.T057300	TCONS_00300474
Potri.017G017700	TCONS_00262237
Potri.004G130600	TCONS_00085453
Potri.004G043200	TCONS_00082527
Potri.002G019700	TCONS_00046490
Potri.002G053400	TCONS_00037000
Potri.002G097600	TCONS_00049637
Potri.002G101500	TCONS_00049829
Potri.008G190900	TCONS_00157813
Potri.002G051800	TCONS_00036889
Potri.017G149400	TCONS_00266509
Potri.008G083600	TCONS_00153670
Potri.005G037900	TCONS_00090828
Potri.004G155100	TCONS_00086291
Potri.004G005500	TCONS_00073596
Potri.009G045100	TCONS_00161098
Potri.008G051900	TCONS_00152132
Potri.003G118000	TCONS_00069713
Potri.002G098600	TCONS_00038894
Potri.006G252100	TCONS_00128367
Potri.001G471200	TCONS_00017284
Potri.007G057600	TCONS_00137259
Potri.006G080900	TCONS_00111659
Potri.008G117000	TCONS_00145479
Potri.008G043400	TCONS_00151680
Potri.009G139700	TCONS_00170827
Potri.006G264500	TCONS_00118508
Potri.016G010300	TCONS_00257144
Potri.001G027100	TCONS_00018409
Potri.017G130000	TCONS_00270646
Potri.006G123200	TCONS_00123619
Potri.019G077100	TCONS_00285767
Potri.008G041800	TCONS_00151573
Potri.009G166000	TCONS_00165321
Potri.001G109600	TCONS_00003861
Potri.018G061800	TCONS_00273836
Potri.001G146900	TCONS_00005335
